title,company,location,salary,description,skills
Software Engineer,InnoSoft,Mumbai,1029901,Design and implement modern web interfaces.,"Docker, JavaScript, React, SQL, Python"
Full Stack Developer,WebSphere,Chennai,2424623,Looking for a passionate developer to build scalable applications.,"Docker, Machine Learning, TensorFlow, Python, AWS"
Software Engineer,NextGen Labs,Chennai,964353,Develop and maintain high-quality software solutions.,"React, Pandas, JavaScript, Machine Learning"
DevOps Engineer,Cloudify,Hyderabad,531627,Analyze data and build predictive models.,"Python, TensorFlow, AWS"
Data Scientist,Cloudify,Hyderabad,2240755,Develop and maintain high-quality software solutions.,"Django, SQL, Machine Learning"
Data Scientist,AlgoEdge,Kolkata,2466125,Looking for a passionate developer to build scalable applications.,"Python, Docker, TensorFlow"
Python Developer,AlgoEdge,Pune,2071260,Analyze data and build predictive models.,"Docker, JavaScript, Django, AWS"
Software Engineer,WebSphere,Hyderabad,2159489,Analyze data and build predictive models.,"Django, AWS, React, JavaScript, SQL"
Backend Developer,AI Solutions,Chennai,1709574,Looking for a passionate developer to build scalable applications.,"TensorFlow, Machine Learning, AWS, Pandas, SQL"
Full Stack Developer,TechNova,Delhi,2411858,Work on cutting-edge technologies and collaborate with a dynamic team.,"Pandas, Django, AWS"
UI/UX Designer,AI Solutions,Hyderabad,2452081,Develop and maintain high-quality software solutions.,"Docker, JavaScript, Python, Django"
Backend Developer,WebSphere,Chennai,1881400,Develop and maintain high-quality software solutions.,"Docker, React, TensorFlow"
Data Scientist,WebSphere,Kolkata,1292879,Looking for a passionate developer to build scalable applications.,"React, Machine Learning, TensorFlow"
Frontend Developer,ByteForge,Pune,2394145,Work on cutting-edge technologies and collaborate with a dynamic team.,"Pandas, Docker, TensorFlow"
Software Engineer,WebSphere,Delhi,1687232,Looking for a passionate developer to build scalable applications.,"TensorFlow, AWS, JavaScript"
Data Analyst,Cloudify,Chennai,756800,Design and implement modern web interfaces.,"TensorFlow, Docker, React, SQL, Python"
Backend Developer,ByteForge,Remote,1034687,Analyze data and build predictive models.,"Django, Pandas, Python, SQL"
UI/UX Designer,ByteForge,Remote,2356231,Analyze data and build predictive models.,"Django, Machine Learning, AWS, JavaScript, TensorFlow"
Software Engineer,CodeWorks,Pune,435152,Looking for a passionate developer to build scalable applications.,"Django, Docker, Machine Learning"
Machine Learning Engineer,CodeWorks,Remote,1857771,Analyze data and build predictive models.,"SQL, Pandas, Python"
Software Engineer,NextGen Labs,Bangalore,394950,Looking for a passionate developer to build scalable applications.,"React, Docker, SQL, Machine Learning, AWS"
Data Scientist,Cloudify,Mumbai,1116188,Develop and maintain high-quality software solutions.,"Docker, Machine Learning, TensorFlow"
Backend Developer,CodeWorks,Kolkata,1925936,Work on cutting-edge technologies and collaborate with a dynamic team.,"TensorFlow, Docker, Django"
Full Stack Developer,Cloudify,Pune,631893,Design and implement modern web interfaces.,"JavaScript, Docker, Pandas"
Backend Developer,NextGen Labs,Mumbai,1693908,Analyze data and build predictive models.,"Docker, TensorFlow, Pandas"
DevOps Engineer,AlgoEdge,Delhi,2465606,Design and implement modern web interfaces.,"SQL, Django, Pandas, Machine Learning"
UI/UX Designer,TechNova,Kolkata,359368,Work on cutting-edge technologies and collaborate with a dynamic team.,"TensorFlow, React, Pandas"
DevOps Engineer,AlgoEdge,Chennai,2352076,Develop and maintain high-quality software solutions.,"JavaScript, React, Django, AWS"
Machine Learning Engineer,TechNova,Mumbai,478197,Analyze data and build predictive models.,"AWS, Docker, SQL, JavaScript"
Backend Developer,AI Solutions,Kolkata,1788159,Looking for a passionate developer to build scalable applications.,"React, TensorFlow, Django"
UI/UX Designer,AlgoEdge,Remote,902416,Design and implement modern web interfaces.,"SQL, AWS, Pandas, Django, Docker"
Python Developer,NextGen Labs,Delhi,1127546,Design and implement modern web interfaces.,"Django, AWS, Machine Learning, Docker, React"
Full Stack Developer,AI Solutions,Remote,1716112,Develop and maintain high-quality software solutions.,"AWS, Machine Learning, Django, JavaScript"
Machine Learning Engineer,Cloudify,Delhi,2210861,Analyze data and build predictive models.,"Django, JavaScript, Machine Learning"
DevOps Engineer,Cloudify,Mumbai,1714278,Looking for a passionate developer to build scalable applications.,"Docker, TensorFlow, Django"
Backend Developer,NextGen Labs,Delhi,1963561,Work on cutting-edge technologies and collaborate with a dynamic team.,"React, JavaScript, TensorFlow, Django"
UI/UX Designer,CodeWorks,Remote,333391,Design and implement modern web interfaces.,"Pandas, Machine Learning, JavaScript, Python, SQL"
DevOps Engineer,ByteForge,Hyderabad,620147,Work on cutting-edge technologies and collaborate with a dynamic team.,"SQL, React, Pandas, Docker"
Data Analyst,InnoSoft,Remote,2325272,Develop and maintain high-quality software solutions.,"Machine Learning, Django, TensorFlow"
Data Analyst,ByteForge,Hyderabad,2482261,Develop and maintain high-quality software solutions.,"TensorFlow, Pandas, JavaScript"
UI/UX Designer,NextGen Labs,Delhi,1999910,Analyze data and build predictive models.,"TensorFlow, Pandas, SQL, React"
Backend Developer,TechNova,Mumbai,1815150,Work on cutting-edge technologies and collaborate with a dynamic team.,"React, JavaScript, Machine Learning, AWS, Django"
Software Engineer,TechNova,Delhi,2371753,Analyze data and build predictive models.,"JavaScript, AWS, Pandas"
Frontend Developer,NextGen Labs,Hyderabad,1401593,Design and implement modern web interfaces.,"Pandas, Machine Learning, JavaScript"
